url,type,utilisee_par_nb,verifie_le
https://github.com/gptme/gptme,Primaire / dépôt,1,2026-08-29
https://github.com/huangd1999/AgentCoder,Primaire / dépôt,1,2026-08-29
https://github.com/huggingface/smolagents,Primaire / dépôt,1,2026-08-29
https://github.com/langchain-ai/deepagents,Primaire / dépôt,1,2026-08-29
https://github.com/langchain-ai/langgraph,Primaire / dépôt,1,2026-08-29
https://github.com/langflow-ai/langflow,Primaire / dépôt,1,2026-08-29
https://github.com/langgenius/dify,Primaire / dépôt,1,2026-08-29
https://github.com/lastmile-ai/mcp-agent,Primaire / dépôt,1,2026-08-29
https://github.com/letta-ai/letta-code,Primaire / dépôt,1,2026-08-29
https://github.com/mannaandpoem/OpenManus,Primaire / dépôt,1,2026-08-29
https://github.com/mastra-ai/mastra,Primaire / dépôt,1,2026-08-29
https://github.com/microsoft/agent-framework,Primaire / dépôt,1,2026-08-29
https://github.com/microsoft/autogen,Primaire / dépôt,1,2026-08-29
https://github.com/microsoft/autogen/tree/main/python/packages/autogen-magentic-one,Primaire / dépôt,1,2026-08-29
https://github.com/microsoft/semantic-kernel,Primaire / dépôt,1,2026-08-29
https://github.com/mistralai/mistral-vibe,Primaire / dépôt,1,2026-08-29
https://github.com/moazbuilds/CodeMachine-CLI,Primaire / dépôt,1,2026-08-29
https://github.com/neovateai/neovate-code,Primaire / dépôt,1,2026-08-29
https://github.com/nus-apr/auto-code-rover,Primaire / dépôt,1,2026-08-29
https://github.com/openai/codex,Primaire / dépôt,1,2026-08-29
https://github.com/openai/openai-agents-python,Primaire / dépôt,1,2026-08-29
https://github.com/paperclipai/paperclip,Primaire / dépôt,1,2026-08-29
https://github.com/plandex-ai/plandex,Primaire / dépôt,1,2026-08-29
https://github.com/pydantic/pydantic-ai,Primaire / dépôt,1,2026-08-29
https://github.com/run-llama/llama_index,Primaire / dépôt,1,2026-08-29
https://github.com/search?q=RepoCoder&type=repositories,Secondaire / index,1,2026-08-29
https://github.com/search?q=RepoPilot+coding+agent&type=repositories,Secondaire / index,1,2026-08-29
https://github.com/semanser/codel,Primaire / dépôt,1,2026-08-29
https://github.com/smol-ai/developer,Primaire / dépôt,1,2026-08-29
https://github.com/smtg-ai/claude-squad,Primaire / dépôt,1,2026-08-29
https://github.com/sola-st/RepairAgent,Primaire / dépôt,1,2026-08-29
https://github.com/stitionai/devika,Primaire / dépôt,1,2026-08-29
https://github.com/strands-agents/sdk-python,Primaire / dépôt,1,2026-08-29
https://github.com/xai-org/grok-build,Primaire / dépôt,1,2026-08-29
https://github.github.com/spec-kit/reference/integrations.html,Primaire / dépôt,4,2026-08-29
https://jules.google/,Secondaire / index,1,2026-08-29
https://junie.jetbrains.com/docs/,Secondaire / index,1,2026-08-29
https://kiro.dev/docs/,Secondaire / index,1,2026-08-29
https://lovable.dev/,Secondaire / index,1,2026-08-29
https://manus.im/,Secondaire / index,1,2026-08-29
https://mentat.ai/,Secondaire / index,1,2026-08-29
https://openai.com/codex/,Secondaire / index,1,2026-08-29
https://paperclip.ing/,Primaire / dépôt,1,2026-08-29
https://pi.dev/,Secondaire / index,1,2026-08-29
https://pythagora.ai/,Secondaire / index,1,2026-08-29
https://sourcegraph.com/cody,Secondaire / index,1,2026-08-29
https://support.atlassian.com/rovo/docs/use-rovo-dev-cli/,Secondaire / index,1,2026-08-29
https://sweep.dev/,Secondaire / index,1,2026-08-29
https://v0.dev/,Secondaire / index,1,2026-08-29
https://www.blackbox.ai/,Secondaire / index,1,2026-08-29
https://www.codebuff.com/,Secondaire / index,1,2026-08-29
https://www.coderabbit.ai/,Secondaire / index,1,2026-08-29
https://www.conductor.build/,Secondaire / index,1,2026-08-29
https://www.qodo.ai/,Secondaire / index,1,2026-08-29
https://www.snowflake.com/,Secondaire / index,1,2026-08-29
https://www.trae.ai/,Secondaire / index,1,2026-08-29
https://www.warp.dev/oz,Secondaire / index,1,2026-08-29
